City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Grandview,38.89,-94.53,34.0,86,90,0.09,US,1603849845
Punta Arenas,-53.15,-70.92,42.8,75,0,26.4,CL,1603849756
Ushuaia,-54.8,-68.3,46.4,36,75,12.75,AR,1603849761
Gushikawa,26.35,127.87,82.4,54,20,13.87,JP,1603849847
Saint-Pierre,-21.34,55.48,69.8,64,0,4.7,RE,1603849794
Cape Town,-33.93,18.42,61.0,87,75,10.29,ZA,1603849848
Junín,-34.58,-60.94,60.01,38,74,6.93,AR,1603849848
Mar del Plata,-38.0,-57.56,59.0,87,0,2.24,AR,1603849657
Casablanca,33.59,-7.62,62.01,93,0,6.93,MA,1603849837
Qaanaaq,77.48,-69.36,12.79,81,93,13.38,GL,1603849752
Ilhabela,-23.78,-45.36,72.61,86,31,5.93,BR,1603849851
Saint Paul Harbor,57.79,-152.41,46.4,45,1,20.8,US,1603849852
Iqaluit,63.75,-68.51,19.4,73,90,4.7,CA,1603849585
Cockburn Town,21.46,-71.14,82.83,79,39,22.59,TC,1603849852
East London,-33.02,27.91,66.87,75,50,16.22,ZA,1603849853
Fortuna,40.6,-124.16,54.0,81,1,3.85,US,1603849853
Balikpapan,-1.27,116.83,84.29,67,100,4.5,ID,1603849854
Bambous Virieux,-20.34,57.76,70.0,80,13,3.0,MU,1603849854
Mataura,-46.19,168.86,57.99,71,98,8.01,NZ,1603849745
Nikolskoye,59.7,30.79,52.0,87,90,8.95,RU,1603849855
Rikitea,-23.12,-134.97,75.52,83,100,15.48,PF,1603849856
Verkhnetulomskiy,68.61,31.8,41.0,80,75,11.18,RU,1603849856
Hermanus,-34.42,19.23,60.01,91,98,1.99,ZA,1603849857
Blagoyevo,63.37,47.92,38.44,96,100,8.61,RU,1603849857
Narsaq,60.92,-46.05,30.2,74,100,2.24,GL,1603849857
Dibulla,11.27,-73.31,78.4,73,17,6.29,CO,1603849858
Hong Kong,22.29,114.16,78.01,72,100,5.01,HK,1603849610
Puerto Colombia,10.99,-74.95,84.2,79,40,13.87,CO,1603849860
Tiksi,71.69,128.87,-3.17,90,1,13.18,RU,1603849764
Half Moon Bay,37.46,-122.43,73.4,51,0,3.36,US,1603849861
Saint Anthony,45.02,-93.22,32.0,92,90,10.29,US,1603849862
São Luiz Gonzaga,-28.41,-54.96,58.42,74,0,4.47,BR,1603849862
Bilma,18.69,12.92,67.17,26,0,3.0,NE,1603849805
